Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
18,9955,Short Cut Road 06,BSC,Rural,Local,24,Sealed,1800,2270,Urunga,470,6,2820,1,2019,,230,9955,100308,Mutiple Chainage
18,9955,Short Cut Road 07,BSC,Rural,Local,24,Sealed,2270,2535.341423,Urunga,265.3414227,6,1592.048536,2,2019,,230,9955,100308,Mutiple Chainage
393,9956,Slingsbys Road 01,BSC,Rural,Local,75,Sealed,0,1450,Megan,1450,4,5800,1,1968,,482,9956,100309,Mutiple Chainage
393,9956,Slingsbys Road 02,BSC,Rural,Local,75,Sealed,1450,2400,Megan,950,4,3800,1,1968,,482,9956,100309,Mutiple Chainage
393,9956,Slingsbys Road 03,BSC,Rural,Local,75,Sealed,2400,3820,Megan,1420,4,5680,1,1968,,482,9956,100309,Mutiple Chainage
393,9956,Slingsbys Road 04,BSC,Rural,Local,75,Sealed,3820,4900,Megan,1080,4,4320,1,1968,,482,9956,100309,Mutiple Chainage
393,9956,Slingsbys Road 05,BSC,Rural,Local,75,Unsealed,4900,5775.916232,Megan,875.9162324,4,3503.66493,1,2012,,482,9956,100309,Mutiple Chainage
248,9962,South Arm Road 01,BSC,Rural,Local,35,Sealed,0,1690,Urunga,1690,3,5070,1,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 02,BSC,Rural,Local,35,Sealed,1690,2440,Urunga,750,3,2250,1,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 03,BSC,Rural,Local,35,Sealed,2440,4390,Urunga,1950,3,5850,1,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 04,BSC,Rural,Local,35,Sealed,4390,6760,Urunga,2370,3,7110,1,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 05,BSC,Rural,Local,35,Sealed,6760,6860,Urunga,100,3,300,1,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 06,BSC,Rural,Local,35,Sealed,6860,7020,Urunga,160,3,480,4,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 07,BSC,Rural,Local,35,Sealed,7020,9090,Urunga,2070,3,6210,4,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 08,BSC,Rural,Local,35,Sealed,9090,11590,Urunga,2500,3,7500,4,1968,,484,9962,100315,Mutiple Chainage
248,9962,South Arm Road 09,BSC,Rural,Local,35,Sealed,11590,14052.26675,Urunga,2462.266747,3,7386.800241,4,1968,,484,9962,100315,Mutiple Chainage
90,9959,South Street 01,BSC,Urban,Local,78,Sealed,0,110,Bellingen,110,3.6,396,1,2009,,232,9959,100312,Mutiple Chainage
90,9959,South Street 02,BSC,Urban,Local,78,Sealed,110,263.7489823,Bellingen,153.7489823,4.4,676.495522,4,2009,,232,9959,100312,Mutiple Chainage
234,9964,Summervilles Road 01,BSC,Rural,Local,8,Sealed,0,1730,Gleniffer,1730,4,6920,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 02,BSC,Rural,Local,8,Unsealed,1730,4610,Gleniffer,2880,3,8640,4,1987,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 03,BSC,Rural,Local,8,Sealed,4610,5010,Gleniffer,400,3,1200,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 04,BSC,Rural,Local,8,Sealed,5010,5790,Gleniffer,780,5,3900,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 05,BSC,Rural,Local,8,Sealed,5790,6350,Gleniffer,560,4.5,2520,1,1987,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 06,BSC,Rural,Local,8,Sealed,6350,7340,Gleniffer,990,4,3960,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 07,BSC,Rural,Local,8,Sealed,7340,7590,Gleniffer,250,5.5,1375,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 08,BSC,Rural,Local,8,Sealed,7590,7720,Gleniffer,130,5.5,715,1,1968,,529,9964,100317,Mutiple Chainage
234,9964,Summervilles Road 09,BSC,Rural,Local,8,Sealed,7720,8398.525481,Gleniffer,678.5254809,5.5,3731.890145,1,1968,,529,9964,100317,Mutiple Chainage
500,9965,Summit Close,BSC,Urban,Local,116,Sealed,0,293.579307,Dorrigo,293.579307,6.5,1908.265496,3,2009,,236,9965,100318,Mutiple Chainage
499,9965,Summit Close - 01,BSC,Urban,Local,116,Sealed,0,105.0891828,Dorrigo,105.0891828,4,420.3567311,3,2009,,236,9965,100318,Mutiple Chainage
237,9966,Sunny Corner Road 01,BSC,Rural,Local,59,Sealed,0,1430,Bellingen,1430,3.2,4576,2,1968,,485,9966,100320,Mutiple Chainage
237,9966,Sunny Corner Road 02,BSC,Rural,Local,59,Sealed,1430,1700,Bellingen,270,3.2,864,2,1968,,485,9966,100320,Mutiple Chainage
237,9966,Sunny Corner Road 03,BSC,Rural,Local,59,Sealed,1700,1940,Bellingen,240,3.2,768,1,1968,,485,9966,100320,Mutiple Chainage
237,9966,Sunny Corner Road 04,BSC,Rural,Local,59,Unsealed,1940,3090,Bellingen,1150,3,3450,4,2016,,485,9966,100320,Mutiple Chainage
237,9966,Sunny Corner Road 05,BSC,Rural,Local,59,Sealed,3090,3210,Bellingen,120,3,360,2,1968,,485,9966,100320,Mutiple Chainage
237,9966,Sunny Corner Road 06,BSC,Rural,Local,59,Unsealed,3210,3782.087461,Bellingen,572.0874607,3,1716.262382,3,2016,,485,9966,100320,Mutiple Chainage
154,9839,Sweedmans Lane 01,BSC,Rural,Local,109,Sealed,0,40,Fernmount,40,4.5,180,1,2004,,453,9839,100181,Mutiple Chainage
154,9839,Sweedmans Lane 02,BSC,Rural,Local,109,Unsealed,40,1058.668335,Fernmount,1018.668335,4.5,4584.007505,4,2004,,453,9839,100181,Mutiple Chainage
